researcher,speaker,trial,typicality,colour_en,object_en,trial_number
Sasha,JK,2,atypical,green,carrots,1
Anya,JK,4,typical,yellow,lemon,1
Margaux,JK,5,atypical,red,cucumber,1
Anya,JK,8,atypical,yellow,cherry,1
Sasha,JK,12,medium,green,tomato,1
Garik,JK,14,medium,orange,potatoes,1
Anya,JK,16,medium,yellow,peas,1
Sasha,JK,17,typical,brown,walnut,1
Margaux,JK,19,medium,red,apricot,1
Sasha,JK,21,atypical,brown,pepper,1
Sasha,JK,25,typical,green,beans,1
Sasha,JK,30,medium,brown,banana,1
Garik,JK,31,atypical,orange,grapes,1
Margaux,JK,33,typical,red,strawberry,1
Garik,JK,35,typical,orange,mandarine,1
Sasha,JK,37,atypical,green,carrots,2
Anya,JK,39,typical,yellow,lemon,2
Margaux,JK,40,atypical,red,cucumber,2
Anya,JK,43,atypical,yellow,cherry,2
Sasha,JK,47,medium,green,tomato,2
Garik,JK,49,medium,orange,potatoes,2
Anya,JK,51,medium,yellow,peas,2
Sasha,JK,52,typical,brown,walnut,2
Margaux,JK,54,medium,red,apricot,2
Sasha,JK,56,atypical,brown,pepper,2
Sasha,JK,60,typical,green,beans,2
Sasha,JK,65,medium,brown,banana,2
Garik,JK,66,atypical,orange,grapes,2
Margaux,JK,68,typical,red,strawberry,2
Garik,JK,70,typical,orange,mandarine,2
Anya,JN,2,medium,yellow,peas,1
Sasha,JN,4,atypical,green,carrots,1
Margaux,JN,5,typical,red,strawberry,1
Margaux,JN,10,medium,red,apricot,1
Margaux,JN,13,typical,brown,walnut,1
Garik,JN,15,atypical,orange,grapes,1
Margaux,JN,17,atypical,red,cucumber,1
Margaux,JN,19,medium,brown,banana,1
Margaux,JN,21,atypical,brown,pepper,1
Garik,JN,22,typical,orange,mandarine,1
Anya,JN,24,atypical,yellow,cherry,1
Garik,JN,26,medium,orange,potatoes,1
Anya,JN,27,typical,yellow,lemon,1
Sasha,JN,32,typical,green,beans,1
Sasha,JN,34,medium,green,tomato,1
Anya,JN,37,medium,yellow,peas,2
Sasha,JN,39,atypical,green,carrots,2
Margaux,JN,40,typical,red,strawberry,2
Margaux,JN,45,medium,red,apricot,2
Margaux,JN,48,typical,brown,walnut,2
Garik,JN,50,atypical,orange,grapes,2
Margaux,JN,52,atypical,red,cucumber,2
Margaux,JN,54,medium,brown,banana,2
Margaux,JN,56,atypical,brown,pepper,2
Garik,JN,57,typical,orange,mandarine,2
Anya,JN,59,atypical,yellow,cherry,2
Garik,JN,61,medium,orange,potatoes,2
Anya,JN,62,typical,yellow,lemon,2
Sasha,JN,67,typical,green,beans,2
Sasha,JN,69,medium,green,tomato,2
Margaux,JR,2,atypical,brown,pepper,1
Garik,JR,3,medium,orange,potatoes,1
Sasha,JR,5,typical,green,beans,1
Anya,JR,7,typical,yellow,lemon,1
Margaux,JR,8,medium,brown,banana,1
Garik,JR,10,typical,orange,mandarine,1
Anya,JR,12,atypical,yellow,cherry,1
Sasha,JR,15,atypical,green,carrots,1
Anya,JR,20,medium,yellow,peas,1
Margaux,JR,23,atypical,red,cucumber,1
Margaux,JR,25,typical,red,strawberry,1
Garik,JR,28,atypical,orange,grapes,1
Sasha,JR,30,medium,green,tomato,1
Margaux,JR,33,medium,red,apricot,1
Margaux,JR,35,typical,brown,walnut,1
Margaux,JR,37,atypical,brown,pepper,2
Garik,JR,38,medium,orange,potatoes,2
Sasha,JR,40,typical,green,beans,2
Anya,JR,42,typical,yellow,lemon,2
Margaux,JR,43,medium,brown,banana,2
Garik,JR,45,typical,orange,mandarine,2
Anya,JR,47,atypical,yellow,cherry,2
Sasha,JR,50,atypical,green,carrots,2
Anya,JR,55,medium,yellow,peas,2
Margaux,JR,58,atypical,red,cucumber,2
Margaux,JR,60,typical,red,strawberry,2
Garik,JR,63,atypical,orange,grapes,2
Sasha,JR,65,medium,green,tomato,2
Margaux,JR,68,medium,red,apricot,2
Margaux,JR,70,typical,brown,walnut,2
Sasha,JW_2,6,typical,green,beans,1
Sasha,JW_2,8,typical,brown,walnut,1
Sasha,JW_2,11,atypical,brown,pepper,1
Margaux,JW_2,12,typical,red,strawberry,1
Anya,JW_2,16,typical,yellow,lemon,1
Sasha,JW_2,19,medium,brown,banana,1
Garik,JW_2,20,medium,orange,potatoes,1
Sasha,JW_2,22,atypical,green,carrots,1
Anya,JW_2,23,atypical,yellow,cherry,1
Garik,JW_2,25,atypical,orange,grapes,1
Margaux,JW_2,28,atypical,red,cucumber,1
Garik,JW_2,30,typical,orange,mandarine,1
Sasha,JW_2,32,medium,green,tomato,1
Anya,JW_2,34,medium,yellow,peas,1
Margaux,JW_2,35,medium,red,apricot,1
Sasha,JW_2,41,typical,green,beans,2
Sasha,JW_2,43,typical,brown,walnut,2
Sasha,JW_2,46,atypical,brown,pepper,2
Margaux,JW_2,47,typical,red,strawberry,2
Anya,JW_2,51,typical,yellow,lemon,2
Sasha,JW_2,54,medium,brown,banana,2
Garik,JW_2,55,medium,orange,potatoes,2
Sasha,JW_2,57,atypical,green,carrots,2
Anya,JW_2,58,atypical,yellow,cherry,2
Garik,JW_2,60,atypical,orange,grapes,2
Margaux,JW_2,63,atypical,red,cucumber,2
Garik,JW_2,65,typical,orange,mandarine,2
Sasha,JW_2,67,medium,green,tomato,2
Anya,JW_2,69,medium,yellow,peas,2
Margaux,JW_2,70,medium,red,apricot,2
Garik,JW_3,2,typical,orange,mandarine,1
Sasha,JW_3,4,medium,green,tomato,1
Margaux,JW_3,5,typical,red,strawberry,1
Garik,JW_3,9,atypical,orange,grapes,1
Sasha,JW_3,11,atypical,green,carrots,1
Garik,JW_3,17,medium,orange,potatoes,1
Anya,JW_3,18,atypical,yellow,cherry,1
Anya,JW_3,20,typical,yellow,lemon,1
Garik,JW_3,22,typical,brown,walnut,1
Anya,JW_3,25,medium,yellow,peas,1
Garik,JW_3,26,atypical,brown,pepper,1
Margaux,JW_3,28,medium,red,apricot,1
Margaux,JW_3,31,atypical,red,cucumber,1
Garik,JW_3,34,medium,brown,banana,1
Sasha,JW_3,35,typical,green,beans,1
Garik,JW_3,37,typical,orange,mandarine,2
Sasha,JW_3,39,medium,green,tomato,2
Margaux,JW_3,40,typical,red,strawberry,2
Garik,JW_3,44,atypical,orange,grapes,2
Sasha,JW_3,46,atypical,green,carrots,2
Garik,JW_3,52,medium,orange,potatoes,2
Anya,JW_3,53,atypical,yellow,cherry,2
Anya,JW_3,55,typical,yellow,lemon,2
Garik,JW_3,57,typical,brown,walnut,2
Anya,JW_3,60,medium,yellow,peas,2
Garik,JW_3,61,atypical,brown,pepper,2
Margaux,JW_3,63,medium,red,apricot,2
Margaux,JW_3,66,atypical,red,cucumber,2
Garik,JW_3,69,medium,brown,banana,2
Sasha,JW_3,70,typical,green,beans,2
Margaux,KM,3,atypical,red,cucumber,1
Garik,KM,5,atypical,orange,grapes,1
Sasha,KM,8,medium,green,tomato,1
Margaux,KM,9,medium,red,apricot,1
Sasha,KM,11,atypical,green,carrots,1
Garik,KM,12,medium,orange,potatoes,1
Anya,KM,14,atypical,yellow,cherry,1
Garik,KM,17,medium,brown,banana,1
Garik,KM,21,atypical,brown,pepper,1
Garik,KM,23,typical,brown,walnut,1
Anya,KM,24,typical,yellow,lemon,1
Garik,KM,26,typical,orange,mandarine,1
Margaux,KM,29,typical,red,strawberry,1
Sasha,KM,32,typical,green,beans,1
Anya,KM,34,medium,yellow,peas,1
Margaux,KM,38,atypical,red,cucumber,2
Garik,KM,40,atypical,orange,grapes,2
Sasha,KM,43,medium,green,tomato,2
Margaux,KM,44,medium,red,apricot,2
Sasha,KM,46,atypical,green,carrots,2
Garik,KM,47,medium,orange,potatoes,2
Anya,KM,49,atypical,yellow,cherry,2
Garik,KM,52,medium,brown,banana,2
Garik,KM,56,atypical,brown,pepper,2
Garik,KM,58,typical,brown,walnut,2
Anya,KM,59,typical,yellow,lemon,2
Garik,KM,61,typical,orange,mandarine,2
Margaux,KM,64,typical,red,strawberry,2
Sasha,KM,67,typical,green,beans,2
Anya,KM,69,medium,yellow,peas,2
Anya,LG,2,typical,yellow,lemon,1
Anya,LG,3,medium,brown,banana,1
Anya,LG,5,medium,yellow,peas,1
Garik,LG,10,atypical,orange,grapes,1
Sasha,LG,13,typical,green,beans,1
Margaux,LG,15,atypical,red,cucumber,1
Anya,LG,17,typical,brown,walnut,1
Garik,LG,19,typical,orange,mandarine,1
Sasha,LG,20,atypical,green,carrots,1
Anya,LG,22,atypical,brown,pepper,1
Sasha,LG,24,medium,green,tomato,1
Anya,LG,27,atypical,yellow,cherry,1
Garik,LG,28,medium,orange,potatoes,1
Margaux,LG,30,medium,red,apricot,1
Margaux,LG,32,typical,red,strawberry,1
Anya,LG,37,typical,yellow,lemon,2
Anya,LG,38,medium,brown,banana,2
Anya,LG,40,medium,yellow,peas,2
Garik,LG,45,atypical,orange,grapes,2
Sasha,LG,48,typical,green,beans,2
Margaux,LG,50,atypical,red,cucumber,2
Anya,LG,52,typical,brown,walnut,2
Garik,LG,54,typical,orange,mandarine,2
Sasha,LG,55,atypical,green,carrots,2
Anya,LG,57,atypical,brown,pepper,2
Sasha,LG,59,medium,green,tomato,2
Anya,LG,62,atypical,yellow,cherry,2
Garik,LG,63,medium,orange,potatoes,2
Margaux,LG,65,medium,red,apricot,2
Margaux,LG,67,typical,red,strawberry,2
Sasha,LM,2,medium,brown,banana,1
Margaux,LM,4,typical,red,strawberry,1
Sasha,LM,6,typical,brown,walnut,1
Garik,LM,9,atypical,orange,grapes,1
Sasha,LM,11,typical,green,beans,1
Margaux,LM,12,atypical,red,cucumber,1
Margaux,LM,14,medium,red,apricot,1
Sasha,LM,17,atypical,green,carrots,1
Sasha,LM,19,medium,green,tomato,1
Anya,LM,21,atypical,yellow,cherry,1
Sasha,LM,22,atypical,brown,pepper,1
Garik,LM,24,medium,orange,potatoes,1
Anya,LM,26,typical,yellow,lemon,1
Anya,LM,30,medium,yellow,peas,1
Garik,LM,35,typical,orange,mandarine,1
Sasha,LM,37,medium,brown,banana,2
Margaux,LM,39,typical,red,strawberry,2
Sasha,LM,41,typical,brown,walnut,2
Garik,LM,44,atypical,orange,grapes,2
Sasha,LM,46,typical,green,beans,2
Margaux,LM,47,atypical,red,cucumber,2
Margaux,LM,49,medium,red,apricot,2
Sasha,LM,52,atypical,green,carrots,2
Sasha,LM,54,medium,green,tomato,2
Anya,LM,56,atypical,yellow,cherry,2
Sasha,LM,57,atypical,brown,pepper,2
Garik,LM,59,medium,orange,potatoes,2
Anya,LM,61,typical,yellow,lemon,2
Anya,LM,65,medium,yellow,peas,2
Garik,LM,70,typical,orange,mandarine,2
Anya,MS,3,typical,yellow,lemon,1
Garik,MS,4,atypical,orange,grapes,1
Anya,MS,6,medium,brown,banana,1
Margaux,MS,8,typical,red,strawberry,1
Anya,MS,10,atypical,brown,pepper,1
Anya,MS,12,medium,yellow,peas,1
Garik,MS,15,medium,orange,potatoes,1
Sasha,MS,17,atypical,green,carrots,1
Sasha,MS,19,medium,green,tomato,1
Margaux,MS,21,atypical,red,cucumber,1
Garik,MS,23,typical,orange,mandarine,1
Anya,MS,25,atypical,yellow,cherry,1
Margaux,MS,26,medium,red,apricot,1
Anya,MS,33,typical,brown,walnut,1
Sasha,MS,35,typical,green,beans,1
Anya,MS,38,typical,yellow,lemon,2
Garik,MS,39,atypical,orange,grapes,2
Anya,MS,41,medium,brown,banana,2
Margaux,MS,43,typical,red,strawberry,2
Anya,MS,45,atypical,brown,pepper,2
Anya,MS,47,medium,yellow,peas,2
Garik,MS,50,medium,orange,potatoes,2
Sasha,MS,52,atypical,green,carrots,2
Sasha,MS,54,medium,green,tomato,2
Margaux,MS,56,atypical,red,cucumber,2
Garik,MS,58,typical,orange,mandarine,2
Anya,MS,60,atypical,yellow,cherry,2
Margaux,MS,61,medium,red,apricot,2
Anya,MS,68,typical,brown,walnut,2
Sasha,MS,70,typical,green,beans,2
Sasha,MZ,3,medium,green,tomato,1
Margaux,MZ,4,typical,brown,walnut,1
Garik,MZ,6,medium,orange,potatoes,1
Anya,MZ,8,medium,yellow,peas,1
Garik,MZ,9,atypical,orange,grapes,1
Margaux,MZ,11,atypical,red,cucumber,1
Anya,MZ,13,atypical,yellow,cherry,1
Margaux,MZ,16,medium,red,apricot,1
Margaux,MZ,19,typical,red,strawberry,1
Sasha,MZ,22,typical,green,beans,1
Garik,MZ,25,typical,orange,mandarine,1
Sasha,MZ,27,atypical,green,carrots,1
Margaux,MZ,29,medium,brown,banana,1
Anya,MZ,31,typical,yellow,lemon,1
Margaux,MZ,34,atypical,brown,pepper,1
Sasha,MZ,38,medium,green,tomato,2
Margaux,MZ,39,typical,brown,walnut,2
Garik,MZ,41,medium,orange,potatoes,2
Anya,MZ,43,medium,yellow,peas,2
Garik,MZ,44,atypical,orange,grapes,2
Margaux,MZ,46,atypical,red,cucumber,2
Anya,MZ,48,atypical,yellow,cherry,2
Margaux,MZ,51,medium,red,apricot,2
Margaux,MZ,54,typical,red,strawberry,2
Sasha,MZ,57,typical,green,beans,2
Garik,MZ,60,typical,orange,mandarine,2
Sasha,MZ,62,atypical,green,carrots,2
Margaux,MZ,64,medium,brown,banana,2
Anya,MZ,66,typical,yellow,lemon,2
Margaux,MZ,69,atypical,brown,pepper,2
Anya,PB,1,typical,brown,walnut,1
Margaux,PB,2,medium,red,apricot,1
Anya,PB,4,medium,yellow,peas,1
Sasha,PB,6,atypical,green,carrots,1
Garik,PB,10,medium,orange,potatoes,1
Garik,PB,12,atypical,orange,grapes,1
Anya,PB,13,medium,brown,banana,1
Anya,PB,15,atypical,brown,pepper,1
Sasha,PB,17,medium,green,tomato,1
Margaux,PB,20,typical,red,strawberry,1
Garik,PB,21,typical,orange,mandarine,1
Margaux,PB,28,atypical,red,cucumber,1
Anya,PB,30,atypical,yellow,cherry,1
Sasha,PB,32,typical,green,beans,1
Anya,PB,34,typical,yellow,lemon,1
Anya,PB,36,typical,brown,walnut,2
Margaux,PB,37,medium,red,apricot,2
Anya,PB,39,medium,yellow,peas,2
Sasha,PB,41,atypical,green,carrots,2
Garik,PB,45,medium,orange,potatoes,2
Garik,PB,47,atypical,orange,grapes,2
Anya,PB,48,medium,brown,banana,2
Anya,PB,50,atypical,brown,pepper,2
Sasha,PB,52,medium,green,tomato,2
Margaux,PB,55,typical,red,strawberry,2
Garik,PB,56,typical,orange,mandarine,2
Margaux,PB,63,atypical,red,cucumber,2
Anya,PB,65,atypical,yellow,cherry,2
Sasha,PB,67,typical,green,beans,2
Anya,PB,69,typical,yellow,lemon,2
Anya,PS,3,medium,yellow,peas,1
Anya,PS,5,atypical,yellow,cherry,1
Sasha,PS,8,typical,green,beans,1
Anya,PS,10,typical,yellow,lemon,1
Garik,PS,11,typical,orange,mandarine,1
Garik,PS,13,medium,orange,potatoes,1
Anya,PS,15,typical,brown,walnut,1
Margaux,PS,18,medium,red,apricot,1
Margaux,PS,20,atypical,red,cucumber,1
Anya,PS,22,atypical,brown,pepper,1
Sasha,PS,24,medium,green,tomato,1
Anya,PS,27,medium,brown,banana,1
Margaux,PS,29,typical,red,strawberry,1
Sasha,PS,31,atypical,green,carrots,1
Garik,PS,32,atypical,orange,grapes,1
Anya,PS,38,medium,yellow,peas,2
Anya,PS,40,atypical,yellow,cherry,2
Sasha,PS,43,typical,green,beans,2
Anya,PS,45,typical,yellow,lemon,2
Garik,PS,46,typical,orange,mandarine,2
Garik,PS,48,medium,orange,potatoes,2
Anya,PS,50,typical,brown,walnut,2
Margaux,PS,53,medium,red,apricot,2
Margaux,PS,55,atypical,red,cucumber,2
Anya,PS,57,atypical,brown,pepper,2
Sasha,PS,59,medium,green,tomato,2
Anya,PS,62,medium,brown,banana,2
Margaux,PS,64,typical,red,strawberry,2
Sasha,PS,66,atypical,green,carrots,2
Garik,PS,67,atypical,orange,grapes,2
Garik,TB,1,atypical,orange,grapes,1
Margaux,TB,3,medium,red,apricot,1
Sasha,TB,6,atypical,green,carrots,1
Sasha,TB,8,medium,brown,banana,1
Garik,TB,11,typical,orange,mandarine,1
Sasha,TB,15,atypical,brown,pepper,1
Garik,TB,17,medium,orange,potatoes,1
Anya,TB,21,medium,yellow,peas,1
Anya,TB,23,typical,yellow,lemon,1
Sasha,TB,24,typical,brown,walnut,1
Sasha,TB,26,typical,green,beans,1
Sasha,TB,28,medium,green,tomato,1
Margaux,TB,31,atypical,red,cucumber,1
Anya,TB,33,atypical,yellow,cherry,1
Margaux,TB,34,typical,red,strawberry,1
Garik,TB,36,atypical,orange,grapes,2
Margaux,TB,38,medium,red,apricot,2
Sasha,TB,41,atypical,green,carrots,2
Sasha,TB,43,medium,brown,banana,2
Garik,TB,46,typical,orange,mandarine,2
Sasha,TB,50,atypical,brown,pepper,2
Garik,TB,52,medium,orange,potatoes,2
Anya,TB,56,medium,yellow,peas,2
Anya,TB,58,typical,yellow,lemon,2
Sasha,TB,59,typical,brown,walnut,2
Sasha,TB,61,typical,green,beans,2
Sasha,TB,63,medium,green,tomato,2
Margaux,TB,66,atypical,red,cucumber,2
Anya,TB,68,atypical,yellow,cherry,2
Margaux,TB,69,typical,red,strawberry,2
Garik,TS,2,medium,orange,potatoes,1
Margaux,TS,5,atypical,red,cucumber,1
Anya,TS,7,atypical,yellow,cherry,1
Anya,TS,10,typical,yellow,lemon,1
Margaux,TS,11,medium,red,apricot,1
Margaux,TS,13,typical,red,strawberry,1
Garik,TS,14,atypical,orange,grapes,1
Garik,TS,16,typical,orange,mandarine,1
Anya,TS,18,medium,yellow,peas,1
Sasha,TS,20,atypical,green,carrots,1
Garik,TS,24,typical,brown,walnut,1
Garik,TS,26,atypical,brown,pepper,1
Sasha,TS,28,medium,green,tomato,1
Sasha,TS,32,typical,green,beans,1
Garik,TS,34,medium,brown,banana,1
Garik,TS,37,medium,orange,potatoes,2
Margaux,TS,40,atypical,red,cucumber,2
Anya,TS,42,atypical,yellow,cherry,2
Anya,TS,45,typical,yellow,lemon,2
Margaux,TS,46,medium,red,apricot,2
Margaux,TS,48,typical,red,strawberry,2
Garik,TS,49,atypical,orange,grapes,2
Garik,TS,51,typical,orange,mandarine,2
Anya,TS,53,medium,yellow,peas,2
Sasha,TS,55,atypical,green,carrots,2
Garik,TS,59,typical,brown,walnut,2
Garik,TS,61,atypical,brown,pepper,2
Sasha,TS,63,medium,green,tomato,2
Sasha,TS,67,typical,green,beans,2
Garik,TS,69,medium,brown,banana,2
Margaux,VS,2,medium,red,apricot,1
Garik,VS,4,medium,orange,potatoes,1
Anya,VS,6,medium,yellow,peas,1
Margaux,VS,8,medium,brown,banana,1
Sasha,VS,11,atypical,green,carrots,1
Margaux,VS,12,atypical,red,cucumber,1
Margaux,VS,14,typical,red,strawberry,1
Margaux,VS,17,typical,brown,walnut,1
Garik,VS,20,typical,orange,mandarine,1
Sasha,VS,25,typical,green,beans,1
Anya,VS,28,atypical,yellow,cherry,1
Garik,VS,30,atypical,orange,grapes,1
Sasha,VS,31,medium,green,tomato,1
Anya,VS,33,typical,yellow,lemon,1
Margaux,VS,35,atypical,brown,pepper,1
Margaux,VS,37,medium,red,apricot,2
Garik,VS,39,medium,orange,potatoes,2
Anya,VS,41,medium,yellow,peas,2
Margaux,VS,43,medium,brown,banana,2
Sasha,VS,46,atypical,green,carrots,2
Margaux,VS,47,atypical,red,cucumber,2
Margaux,VS,49,typical,red,strawberry,2
Margaux,VS,52,typical,brown,walnut,2
Garik,VS,55,typical,orange,mandarine,2
Sasha,VS,60,typical,green,beans,2
Anya,VS,63,atypical,yellow,cherry,2
Garik,VS,65,atypical,orange,grapes,2
Sasha,VS,66,medium,green,tomato,2
Anya,VS,68,typical,yellow,lemon,2
Margaux,VS,70,atypical,brown,pepper,2
